municipio;gentilico;populacao_ultimo_senso;densidade_demografica;populacao_estimada;pessoal_ocupado;salario_medio_mensal_trabalhadores_formais;populacao_ocupada;perc_pop_rend_per_capta_meio_sm;matriculas_ensino_fundamental;matriculas_ensino_medio;docentes_ensino_fundamental;tx_escolarizacao_16_14;IDEB_anos_iniciais_ef;IDEB_anos_finais_ef;escolas_ensino_fundamental;escolas_ensino_medio;idhm;pib_per_capta;perc_receitas_fontes_externas;qt_estabelecimentos_saude_sus;area_unidade_territorial;mortalidade_infantil;esgotamento_sanitario_adequado;internacoes_por_diarreia;arborizavao_vias_publixas;urbanizacao_vias_publicas;bioma;sistema_costeiro_marinho;hierarquia_urbana;populacao_exposta_risco;regiao_influencia;regiao_intermediaria;regiao_imediata;mesorregiao;microrregiao
São Paulo;paulista;11253503;7398.26;12396372;5766720;4.1;0.471;0.316;1378775;382664;69071;0.96;6.3;4.9;3013;1383;0.805;62341.21;0.3;678;1521.202;10.23;0.926;0.3;0.748;0.503;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;674329;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;São Paulo
Santo André;paulista;676407;3848.01;723889;245592;2.7;0.342;0.305;83592;24383;4484;0.974;6.5;5.2;231;96;0.815;42209.54;0.383;60;175.782;8.61;0.959;0.2;0.822;0.437;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;96062;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;São Paulo
São Caetano do Sul;paulista;149263;9736.03;162763;122015;3.2;0.757;0.266;21305;7946;1341;0.974;7.3;6.2;51;26;0.862;85062.97;0.386;38;15.331;7.21;1;0.2;0.954;0.37;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;São Paulo
Santos;paulista;419400;1494.26;433991;207664;3.2;0.479;0.277;45501;14706;2729;0.982;5.8;5.3;156;65;0.84;52509.91;0.403;79;281.033;7.84;0.951;0.1;0.873;0.847;Mata Atlântica;Pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional da Baixada Santista/SP;6807;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;Santos;Metropolitana de São Paulo;Santos
Bertioga;paulista;47645;97.21;66154;15542;2.8;0.246;0.314;9638;2368;494;0.981;6.5;5;32;15;0.73;28923.67;0.404;9;491.546;15.71;0.771;0.4;0.565;0.101;Mata Atlântica;Pertence;Centro Local (5);0;Arranjo Populacional da Baixada Santista/SP - Capital Regional C (2C);São Paulo;Santos;Metropolitana de São Paulo;Santos
Poá;paulista;106013;6141.05;119221;29429;2.2;0.251;0.359;16805;4811;1030;0.976;6.6;5.4;46;21;0.771;38131.3;0.405;21;17.264;13.17;0.959;0.1;0.73;0.216;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;Mogi das Cruzes
Sorocaba;paulista;586625;1304.18;695328;229113;3;0.337;0.317;83454;23523;4324;0.981;6.7;5.5;205;95;0.798;54878.75;0.412;75;449.872;8.48;0.98;0.1;0.822;0.485;Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de Sorocaba/SP;12867;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Sorocaba;Sorocaba;Macro Metropolitana Paulista;Sorocaba
Campinas;paulista;1080113;1359.6;1223237;464714;3.7;0.386;0.302;126984;35272;6750;0.96;6.5;5.2;314;155;0.805;54710.07;0.417;131;794.571;7.99;0.905;0.3;0.875;0.559;Mata Atlântica;Não pertence;Metrópole (1C) - Município integrante do Arranjo Populacional de Campinas/SP;25135;Arranjo Populacional de Campinas/SP - Metrópole (1C);Campinas;Campinas;Campinas;Campinas
Guarujá;paulista;290752;2026.8;324977;54419;3;0.17;0.36;40995;11238;1767;0.959;6.1;5.2;79;29;0.751;28417.36;0.418;38;144.794;14.59;0.824;0.1;0.682;0.635;Mata Atlântica;Pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional da Baixada Santista/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;Santos;Metropolitana de São Paulo;Santos
Praia Grande;paulista;262051;1781.87;336454;59864;2.4;0.184;0.338;45249;12686;1971;0.969;6.6;5.4;103;43;0.754;23432.68;0.427;32;149.652;10.52;0.929;0;0.741;0.713;Mata Atlântica;Pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional da Baixada Santista/SP;17869;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;Santos;Metropolitana de São Paulo;Santos
Ribeirão Preto;paulista;604682;928.92;720116;277504;2.8;0.395;0.278;75763;21468;3824;0.969;6.2;4.8;192;82;0.8;50270.98;0.438;95;650.916;7.12;0.984;0.3;0.925;0.645;Cerrado.Mata Atlântica;Não pertence;Capital Regional A (2A) - Município integrante do Arranjo Populacional de Ribeirão Preto/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Ribeirão Preto;Ribeirão Preto;Ribeirão Preto;Ribeirão Preto
São José do Rio Preto;paulista;408258;945.12;469173;170120;2.6;0.369;0.273;50605;14924;2577;0.98;6.7;5.3;138;65;0.797;40759.29;0.439;53;431.944;8.31;0.958;0.4;0.965;0.262;Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de São José do Rio Preto/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;São José do Rio Preto
Osasco;paulista;666740;10264.8;701428;181906;3.1;0.26;0.328;92317;26347;4319;0.96;6.3;4.8;177;92;0.776;117298.82;0.459;56;64.954;10.66;0.893;0.3;0.804;0.57;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;Osasco
Bauru;paulista;343937;515.12;381706;142706;2.7;0.379;0.295;42647;12353;2319;0.969;6.4;4.9;115;61;0.801;40668.42;0.47;62;667.684;12.09;0.982;0.2;0.939;0.28;Cerrado.Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de Bauru/SP;12181;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Bauru;Bauru;Bauru;Bauru
Indaiatuba;paulista;201619;646.11;260690;90458;3.4;0.359;0.281;30133;7734;1590;0.982;7.4;5.5;75;30;0.788;66489.24;0.476;27;311.545;6.42;0.973;0.1;0.935;0.408;Mata Atlântica;Não pertence;Centro Subregional A (3A);0;Arranjo Populacional de Campinas/SP - Metrópole (1C)\. Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Campinas;Campinas;Campinas;Campinas
Barueri;paulista;240749;3665.21;279704;298498;4.1;1.089;0.345;52487;17052;2109;0.978;6.7;5.8;63;36;0.786;192647.61;0.478;40;65.701;7.47;0.954;0.9;0.727;0.715;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;Osasco
Valinhos;paulista;106793;718.7;133169;56341;3.1;0.436;0.275;14905;4393;881;0.972;6.5;5.7;61;12;0.819;50785.35;0.484;25;148.538;4.77;0.946;0.1;0.934;0.772;Mata Atlântica;Não pertence;Metrópole (1C) - Município integrante do Arranjo Populacional de Campinas/SP;0;Arranjo Populacional de Campinas/SP - Metrópole (1C);Campinas;Campinas;Campinas;Campinas
Santana de Parnaíba;paulista;108813;604.74;145073;67582;3;0.485;0.345;22098;6361;1181;0.973;6.4;5.5;55;23;0.814;67531.85;0.5;11;179.949;5.42;0.718;0.1;0.584;0.371;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;2773;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;Osasco
São Bernardo do Campo;paulista;765463;1869.36;849874;286693;3.7;0.342;0.325;99158;26745;5537;0.976;6.9;5.6;208;102;0.805;60871.06;0.505;70;409.532;8.95;0.919;0.1;0.841;0.523;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;127648;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;São Paulo
Guarulhos;paulista;1221979;3834.51;1404694;372193;3.1;0.27;0.361;183716;52816;8736;0.971;6.4;5;427;175;0.763;47249.21;0.511;109;318.675;10.33;0.884;0.2;0.712;0.354;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;94720;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;Guarulhos
Peruíbe;paulista;59773;184.4;69697;11320;2.2;0.166;0.36;10206;3099;621;0.986;6;4.9;43;17;0.749;24403.9;0.513;14;326.216;7.39;0.808;0;0.653;0.157;Mata Atlântica;Pertence;Centro de Zona A (4A);0;Arranjo Populacional da Baixada Santista/SP - Capital Regional C (2C);São Paulo;Santos;Litoral Sul Paulista;Itanhaém
Ubatuba;paulista;78801;108.87;92819;24487;2.1;0.27;0.342;11708;3211;679;0.977;6.2;5;49;17;0.751;26241.36;0.513;37;708.105;7.45;0.603;;0.658;0.059;Mata Atlântica;Pertence;Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Caraguatatuba - Ubatuba - São Sebastião/SP;4678;Arranjo Populacional de São José dos Campos/SP - Capital Regional B (2B);São José dos Campos;Caraguatatuba - Ubatuba - São Sebastião;Vale do Paraíba Paulista;Caraguatatuba
Itanhaém;paulista;87057;144.69;104351;16732;2.3;0.164;0.354;15461;4286;817;0.975;6.3;5.3;52;14;0.745;20011.41;0.519;14;601.711;8.55;0.802;0.1;0.474;0.06;Mata Atlântica;Pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional da Baixada Santista/SP;29392;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;Santos;Litoral Sul Paulista;Itanhaém
Piracicaba;paulista;364571;264.47;410275;141058;3.2;0.349;0.308;47888;14741;2484;0.975;6.9;5.5;143;72;0.785;68843.7;0.523;122;1378.069;9.17;0.978;0.3;0.946;0.442;Cerrado.Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Piracicaba/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Campinas;Piracicaba;Piracicaba;Piracicaba
Catanduva;paulista;112820;388.24;123114;42516;2.5;0.349;0.274;12986;4216;750;0.981;6.7;5.5;38;22;0.785;35610.18;0.524;41;290.596;9.32;0.991;0.2;0.989;0.151;Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Catanduva/SP;0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;Catanduva;São José do Rio Preto;Catanduva
Santa Fé do Sul;paulista;29239;141.81;32796;10353;2;0.32;0.272;3445;1066;208;0.979;6.6;6;11;4;0.784;37103.98;0.525;15;206.537;7.5;0.968;0.4;0.99;0.227;Mata Atlântica;Não pertence;Centro de Zona A (4A) - Município integrante do Arranjo Populacional de Santa Fé do Sul/SP;0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;Santa Fé do Sul;São José do Rio Preto;Jales
Mogi das Cruzes;paulista;387779;544.12;455587;115550;2.6;0.259;0.336;58233;16439;2788;0.977;6.8;5;185;71;0.783;36381.52;0.535;43;712.541;10.19;0.855;0.3;0.622;0.287;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;Mogi das Cruzes
Mongaguá;paulista;46293;326;58567;7809;2.3;0.138;0.386;8759;2289;382;0.983;6;5.1;31;10;0.754;19676.56;0.536;11;142.755;13.33;0.854;0.1;0.563;0.111;Mata Atlântica;Pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional da Baixada Santista/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;Santos;Litoral Sul Paulista;Itanhaém
Barretos;paulista;112101;71.6;123546;35689;2.4;0.292;0.281;13662;4153;732;0.978;6.7;5.6;42;19;0.789;39577.48;0.538;35;1566.161;14.57;0.967;0.3;0.955;0.16;Cerrado.Mata Atlântica;Não pertence;Capital Regional C (2C);0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);Ribeirão Preto;Barretos;Ribeirão Preto;Barretos
São José dos Campos;paulista;629921;572.96;737310;217547;3.5;0.301;0.323;84729;24371;4228;0.974;7;5.7;181;81;0.807;60194.93;0.54;94;1099.409;9.44;0.943;0.2;0.947;0.664;Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de São José dos Campos/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São José dos Campos;São José dos Campos;Vale do Paraíba Paulista;São José dos Campos
Araras;paulista;118843;184.3;136739;43040;2.8;0.321;0.306;14446;4311;843;0.975;7;5.6;43;16;0.781;44204.85;0.547;33;644.831;8.01;0.986;0.3;0.842;0.349;Cerrado.Mata Atlântica;Não pertence;Centro Subregional A (3A);0;Arranjo Populacional de Campinas/SP - Metrópole (1C)\. Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Campinas;Araras;Piracicaba;Limeira
Serra Negra;paulista;26387;129.52;29669;7608;1.8;0.26;0.243;3094;632;202;0.978;7;5.8;17;4;0.767;25415.51;0.548;13;203.734;17.12;0.714;0.6;0.732;0.827;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Amparo/SP - Centro Subregional B (3B);Campinas;Amparo;Campinas;Amparo
São Vicente;paulista;332445;2247.88;370839;41506;2.4;0.113;0.336;42109;11119;2092;0.967;5.8;4.9;111;41;0.768;15164.69;0.549;62;148.151;12.5;0.908;0.2;0.828;0.772;Mata Atlântica;Pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional da Baixada Santista/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;Santos;Metropolitana de São Paulo;Santos
Taboão da Serra;paulista;244528;11994.31;297528;70198;2.6;0.242;0.324;39909;10964;1857;0.969;6.7;5.3;78;39;0.769;30423.33;0.55;21;20.388;10.76;0.936;0.3;0.841;0.507;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;64514;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;Itapecerica da Serra
Rio Claro;paulista;186253;373.69;209548;73017;2.9;0.354;0.293;22775;6971;1287;0.982;6.7;5.6;62;28;0.803;50923.39;0.553;45;498.422;11.16;0.986;0.1;0.816;0.278;Cerrado.Mata Atlântica;Não pertence;Centro Subregional A (3A) - Município integrante do Arranjo Populacional de Rio Claro/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Campinas;Rio Claro;Piracicaba;Rio Claro
Presidente Prudente;paulista;207610;368.89;231953;77020;2.5;0.337;0.298;24060;7346;1367;0.978;6.7;5.1;85;40;0.806;36663.15;0.554;53;560.637;9.37;0.981;0.5;0.959;0.346;Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Presidente Prudente/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Presidente Prudente;Presidente Prudente;Presidente Prudente;Presidente Prudente
Adamantina;paulista;33797;82.15;35153;12330;2.2;0.352;0.264;3627;1404;243;0.976;6.8;5.2;12;8;0.79;32400.51;0.554;8;411.987;2.61;0.958;1.6;0.993;0.179;Mata Atlântica;Não pertence;Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Adamantina - Lucélia/SP;0;Arranjo Populacional de Presidente Prudente/SP - Capital Regional C (2C);Presidente Prudente;Adamantina - Lucélia;Presidente Prudente;Adamantina
São João da Boa Vista;paulista;83639;161.96;92315;27509;2.5;0.302;0.278;9535;3097;564;0.972;6.9;5.3;34;18;0.797;35866.22;0.554;24;516.399;12.11;0.965;0.2;0.914;0.619;Mata Atlântica;Não pertence;Centro Subregional A (3A) - Município integrante do Arranjo Populacional de São João da Boa Vista/SP;0;Arranjo Populacional de Campinas/SP - Metrópole (1C)\. Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Campinas;São João da Boa Vista;Campinas;São João da Boa Vista
Votuporanga;paulista;84692;201.15;96106;30217;2.1;0.32;0.266;9805;3404;589;0.988;6.9;5.7;30;16;0.79;31236.51;0.554;20;420.703;6.51;0.97;0.4;0.972;0.508;Mata Atlântica;Não pertence;Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Votuporanga/SP;0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;Votuporanga;São José do Rio Preto;Votuporanga
São Sebastião;paulista;73942;185;91637;21570;3.1;0.242;0.302;11730;3440;606;0.982;6.3;5.3;31;14;0.772;40181.39;0.555;40;402.395;15.28;0.821;0.4;0.675;0.177;Mata Atlântica;Pertence;Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Caraguatatuba - Ubatuba - São Sebastião/SP;0;Arranjo Populacional de São José dos Campos/SP - Capital Regional B (2B);São José dos Campos;Caraguatatuba - Ubatuba - São Sebastião;Vale do Paraíba Paulista;Caraguatatuba
Atibaia;paulista;126603;264.57;145378;47772;2.6;0.335;0.296;20285;6184;1075;0.973;7.4;5.5;68;28;0.765;48596.67;0.555;28;478.521;6.62;0.808;0.1;0.67;0.337;Mata Atlântica;Não pertence;Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Atibaia/SP;9251;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Campinas;Bragança Paulista;Macro Metropolitana Paulista;Bragança Paulista
Jundiaí;paulista;370126;858.42;426935;194183;3.3;0.463;0.28;50820;15926;2943;0.982;7;5.6;134;71;0.822;112068.21;0.555;78;431.204;7.59;0.966;0.2;0.816;0.692;Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Jundiaí/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Campinas;Jundiaí;Macro Metropolitana Paulista;Jundiaí
Itu;paulista;154147;241.01;177150;62801;2.8;0.361;0.295;20734;6442;1249;0.943;6.1;5.3;54;28;0.773;47384.65;0.558;29;640.719;9.35;0.97;0;0.93;0.52;Mata Atlântica;Não pertence;Centro Subregional A (3A) - Município integrante do Arranjo Populacional de Itu - Salto/SP;280;Arranjo Populacional de Sorocaba/SP - Capital Regional B (2B);Sorocaba;Sorocaba;Macro Metropolitana Paulista;Sorocaba
Águas de Lindóia;paulista;17266;287.16;18908;5875;2;0.314;0.263;1918;569;161;0.962;6.5;5.2;9;3;0.745;28385.89;0.559;9;60.126;4.02;0.929;2.4;0.821;0.733;Mata Atlântica;Não pertence;Centro Local (5) - Município integrante do Arranjo Populacional de Águas de Lindóia/SP;3163;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Campinas;Amparo;Campinas;Amparo
Araraquara;paulista;208662;207.9;240542;85793;2.6;0.363;0.29;25532;7839;1489;0.987;6.7;5.3;68;38;0.815;42474.25;0.559;43;1003.625;8.91;0.985;0.1;0.971;0.285;Cerrado.Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Araraquara/SP;0;Arranjo Populacional de Ribeirão Preto/SP - Capital Regional A (2A);Araraquara;Araraquara;Araraquara;Araraquara
Mogi Mirim;paulista;86505;173.77;94098;31845;2.8;0.342;0.306;10013;3176;693;0.974;6.6;5.1;37;16;0.784;50482.71;0.563;24;497.708;6.36;0.95;0.5;0.813;0.426;Cerrado.Mata Atlântica;Não pertence;Centro Subregional A (3A) - Município integrante do Arranjo Populacional de Mogi Guaçu - Mogi Mirim/SP;0;Arranjo Populacional de Campinas/SP - Metrópole (1C)\. Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Campinas;Mogi Guaçu;Campinas;Mogi Mirim
Jacareí;paulista;211214;454.94;237119;56157;3.4;0.24;0.335;28361;7953;1609;0.983;6.6;5.3;89;45;0.777;57183.66;0.563;37;464.272;9.73;0.951;0.2;0.813;0.347;Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de São José dos Campos/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São José dos Campos;São José dos Campos;Vale do Paraíba Paulista;São José dos Campos
Limeira;paulista;276022;475.32;310783;96777;2.9;0.316;0.305;32239;10213;1808;0.977;7.3;5.4;92;40;0.775;45035.17;0.564;52;580.711;12.86;0.972;0.2;0.915;0.57;Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Limeira/SP;11488;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Campinas;Limeira;Piracicaba;Limeira
Porto Feliz;paulista;48893;87.83;53698;16233;2.8;0.306;0.303;6364;1902;338;0.982;6.3;5.6;18;8;0.758;56431.41;0.564;9;556.706;8.81;0.923;0.3;0.821;0.409;Mata Atlântica;Não pertence;Centro de Zona A (4A);0;Arranjo Populacional de Sorocaba/SP - Capital Regional B (2B);Sorocaba;Sorocaba;Macro Metropolitana Paulista;Sorocaba
Cubatão;paulista;118720;830.91;132521;30422;4.2;0.233;0.37;14972;4770;865;0.98;6.1;5.2;43;13;0.737;115116.84;0.565;28;142.879;10;0.627;0.1;0.873;0.91;Mata Atlântica;Pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional da Baixada Santista/SP;13123;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;Santos;Metropolitana de São Paulo;Santos
Americana;paulista;210638;1572.75;244370;87617;2.8;0.366;0.264;25495;8649;1453;0.98;6.9;5.6;64;35;0.811;49876.81;0.566;37;133.912;6.6;0.988;0.1;0.971;0.371;Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Americana - Santa Bárbara d'Oeste/SP;0;Arranjo Populacional de Campinas/SP - Metrópole (1C)\. Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Campinas;Campinas;Campinas;Campinas
Olímpia;paulista;50024;62.32;55477;18137;2.4;0.331;0.283;6720;2080;409;0.974;6.9;5.6;24;10;0.773;38559.28;0.568;14;802.555;9.29;0.968;1.1;0.985;0.319;Cerrado.Mata Atlântica;Não pertence;Centro Subregional B (3B);0;Barretos - Capital Regional C (2C);Ribeirão Preto;Barretos;São José do Rio Preto;São José do Rio Preto
Franca;paulista;318640;526.09;358539;100997;2.2;0.286;0.274;40780;11737;2311;0.982;7.1;5.6;125;56;0.78;28787.49;0.568;52;605.679;10.57;0.985;0.2;0.882;0.567;Cerrado.Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Franca/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Ribeirão Preto;Franca;Ribeirão Preto;Franca
Diadema;paulista;386089;12536.99;429550;98904;3.1;0.233;0.346;54233;16013;2535;0.968;6.5;5.4;112;53;0.757;36097.9;0.574;31;30.732;9.37;0.974;0.6;0.763;0.423;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;19949;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;São Paulo
São Carlos;paulista;221950;195.15;256915;90059;3.3;0.357;0.285;27833;7956;1617;0.979;7.1;5.6;71;39;0.805;46832.89;0.577;42;1136.907;8.01;0.984;0.2;0.892;0.342;Cerrado.Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de São Carlos/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Araraquara;São Carlos;Araraquara;São Carlos
Caieiras;paulista;86529;900.37;104044;23614;2.8;0.233;0.33;12950;3703;744;0.948;6.3;5.5;38;18;0.781;38554.9;0.581;16;97.642;3.89;0.921;0.1;0.836;0.582;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;Franco da Rocha
Vargem Grande Paulista;paulista;42997;1012.1;54315;13871;3;0.264;0.33;7205;1859;446;0.972;6.6;5.3;32;15;0.77;41345.61;0.587;9;42.489;4.48;0.838;0.1;0.782;0.368;Mata Atlântica;Não pertence;Grande Metrópole Nacional (1A) - Município integrante do Arranjo Populacional de São Paulo/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São Paulo;São Paulo;Metropolitana de São Paulo;Itapecerica da Serra
Birigui;paulista;108728;204.79;126094;35077;2;0.284;0.237;13020;3974;724;0.98;7.4;5.6;35;17;0.78;27930.66;0.592;19;530.031;10.25;0.976;0.3;0.948;0.129;Mata Atlântica;Não pertence;Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Birigui/SP;0;Araçatuba - Capital Regional C (2C);Araçatuba;Birigui - Penápolis;Araçatuba;Birigui
Taubaté;paulista;278686;445.98;320820;91870;3;0.292;0.329;38559;11373;1554;0.981;6.6;5.6;90;43;0.8;58290.8;0.593;75;625.003;9.54;0.963;0;0.907;0.627;Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de São José dos Campos/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São José dos Campos;Taubaté - Pindamonhangaba;Vale do Paraíba Paulista;São José dos Campos
Garça;paulista;43115;77.6;44429;11120;2.1;0.251;0.3;4935;1651;334;0.981;6.2;5.2;20;11;0.769;26460.04;0.599;15;555.807;16.53;0.952;1.1;0.989;0.269;Mata Atlântica;Não pertence;Centro de Zona A (4A);0;Arranjo Populacional de Marília/SP - Capital Regional C (2C);Marília;Marília;Marília;Marília
Assis;paulista;95144;206.7;105768;26401;2.5;0.253;0.297;11226;3367;769;0.989;6.5;5.3;44;21;0.805;33929.37;0.599;34;460.609;10.15;0.98;0.6;0.957;0.21;Cerrado.Mata Atlântica;Não pertence;Centro Subregional A (3A);0;Arranjo Populacional de Marília/SP - Capital Regional C (2C);Marília;Assis;Assis;Assis
Marília;paulista;216745;185.21;242249;78861;2.6;0.33;0.311;26630;7242;1517;0.978;7.2;5.4;79;36;0.798;35098.66;0.599;67;1170.515;12.28;0.968;0.2;0.954;0.376;Cerrado.Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Marília/SP;11499;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Marília;Marília;Marília;Marília
