municipio;gentilico;populacao_ultimo_senso;densidade_demografica;populacao_estimada;pessoal_ocupado;salario_medio_mensal_trabalhadores_formais;populacao_ocupada;perc_pop_rend_per_capta_meio_sm;matriculas_ensino_fundamental;matriculas_ensino_medio;docentes_ensino_fundamental;tx_escolarizacao_16_14;IDEB_anos_iniciais_ef;IDEB_anos_finais_ef;escolas_ensino_fundamental;escolas_ensino_medio;idhm;pib_per_capta;perc_receitas_fontes_externas;qt_estabelecimentos_saude_sus;area_unidade_territorial;mortalidade_infantil;esgotamento_sanitario_adequado;internacoes_por_diarreia;arborizavao_vias_publixas;urbanizacao_vias_publicas;bioma;sistema_costeiro_marinho;hierarquia_urbana;populacao_exposta_risco;regiao_influencia;regiao_intermediaria;regiao_imediata;mesorregiao;microrregiao
Paranapanema;paulista;17808;17.48;20588;4047;2.2;0.2;0.316;2471;673;190;0.981;6.6;5.2;11;5;0.717;37704.46;0.744;14;1018.724;3.8;0.803;0.2;0.73;0.126;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Avaré - Centro Subregional B (3B);Sorocaba;Avaré;Bauru;Avaré
Monte Alegre do Sul;paulista;7152;64.84;8181;2149;2.7;0.267;0.265;849;388;52;0.983;6.3;5.6;3;1;0.759;23939.32;0.744;5;110.308;;0.606;0.1;0.67;0.533;Mata Atlântica;Não pertence;Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Amparo/SP;0;Arranjo Populacional de Campinas/SP - Metrópole (1C)\. Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Campinas;Amparo;Campinas;Amparo
Boituva;paulista;48314;194.07;63310;23295;3;0.382;0.302;7939;2172;460;0.987;6.8;5.4;24;8;0.78;48245.53;0.745;11;248.954;6.56;0.89;0.3;0.981;0.295;Mata Atlântica;Não pertence;Centro de Zona A (4A) - Município integrante do Arranjo Populacional de Boituva - Iperó/SP;0;Arranjo Populacional de Sorocaba/SP - Capital Regional B (2B);Sorocaba;Sorocaba;Itapetininga;Tatuí
Lavínia;paulista;8779;16.33;12581;724;2.4;0.06;0.605;534;184;28;0.986;6.5;5.6;1;1;0.721;12978.2;0.746;1;537.675;46.51;0.86;0.8;0.922;0.182;Mata Atlântica;Não pertence;Centro Local (5);0;Araçatuba - Capital Regional C (2C);Araçatuba;Andradina;Araçatuba;Araçatuba
Altinópolis;paulista;15607;16.8;16221;3390;2.1;0.209;0.299;1927;485;133;0.993;6.6;5.3;10;3;0.73;33073.73;0.747;8;928.956;18.29;0.878;0.6;0.945;0.621;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Ribeirão Preto/SP - Capital Regional A (2A);Ribeirão Preto;Ribeirão Preto;Ribeirão Preto;Batatais
Neves Paulista;paulista;8772;40.18;8917;1778;2.3;0.199;0.255;801;220;47;0.997;6.9;5.4;3;1;0.754;24450.17;0.747;7;219.05;;0.906;3.1;0.993;0.251;Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de São José do Rio Preto/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;Nhandeara
Ibitinga;paulista;53158;77.12;61150;17992;1.7;0.3;0.258;6504;1811;375;0.958;6.8;5.5;24;9;0.747;24939.53;0.747;15;689.391;8.08;0.98;0.2;0.958;0.051;Cerrado.Mata Atlântica;Não pertence;Centro Subregional B (3B);0;Arranjo Populacional de Araraquara/SP - Capital Regional C (2C);Araraquara;Araraquara;Araraquara;Araraquara
Campo Limpo Paulista;paulista;74074;932.92;86407;13652;3.3;0.161;0.323;11489;2955;668;0.967;6.3;5.1;32;13;0.769;25363.13;0.748;11;79.403;8.76;0.764;0.1;0.808;0.551;Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Jundiaí/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Campinas;Jundiaí;Macro Metropolitana Paulista;Jundiaí
Ilha Solteira;paulista;25064;38.42;26886;5842;3.1;0.219;0.322;2825;931;188;0.993;6.9;5.7;11;7;0.812;24339.08;0.748;6;652.641;13.33;0.942;1.4;0.553;0.329;Cerrado.Mata Atlântica;Não pertence;Centro de Zona B (4B);0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);Araçatuba;Andradina;Araçatuba;Andradina
Itaí;paulista;24008;22.17;27632;4621;2.3;0.17;0.384;3127;717;185;0.979;5.9;5.3;8;5;0.713;25819.89;0.749;9;1092.884;17.12;0.843;0.3;0.855;0.12;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Avaré - Centro Subregional B (3B);Sorocaba;Avaré;Bauru;Avaré
