"","NO_MUNICIPIO_ESCOLA","NU_TAXA_APROVACAO_1","NU_TAXA_REPROVACAO_1","NU_TAXA_ABANDONO_1"
"272","Nova Luzitânia",0.915,0.068,0.017
"273","Nova Odessa",0.979177725118483,0.0125995260663507,0.00822274881516588
"274","Novo Horizonte",0.936289962825279,0.0230408921933086,0.0406691449814126
"275","Nuporanga",0.982,0,0.018
"276","Ocauçu",0.929,0.04,0.031
"277","Óleo",0.926,0.065,0.009
"278","Olímpia",0.972037735849057,0.0180377358490566,0.00992452830188679
"279","Orindiúva",0.996,0.004,0
"280","Orlândia",0.953222222222222,0.0456360153256705,0.00114176245210728
"281","Osasco",0.917713786679087,0.0669173265020959,0.015368886818817
"282","Osvaldo Cruz",0.959497716894977,0.0405022831050228,0
"283","Ourinhos",0.889454865181712,0.0619695193434936,0.0485756154747948
"284","Pacaembu",0.880633663366337,0.0662178217821782,0.0531485148514851
"285","Palmeira d'Oeste",1,0,0
"286","Palmital",0.875923076923077,0.091986013986014,0.0320909090909091
"287","Panorama",0.93,0.065,0.005
"288","Paraguaçu Paulista",0.94029203539823,0.0502433628318584,0.0094646017699115
"289","Paraibuna",0.88698275862069,0.0943793103448276,0.0186379310344828
"290","Paranapanema",0.943230088495575,0.0331592920353982,0.0236106194690265
"291","Paranapuã",0.949,0.051,0
"292","Pariquera-Açu",0.988823529411765,0.0111764705882353,0
"293","Parisi",0.987,0,0.013
"294","Paulínia",0.947272237196765,0.0527277628032345,0
"295","Paulistânia",0.971,0.015,0.014
"296","Pederneiras",0.918305623471883,0.0677090464547677,0.0139853300733496
"297","Pedra Bela",0.955,0.018,0.027
"298","Pedregulho",0.916904761904762,0.0447142857142857,0.0383809523809524
"299","Pedreira",0.964837209302326,0.0232325581395349,0.0119302325581395
"300","Pedrinhas Paulista",0.991,0.009,0
"301","Penápolis",0.947042372881356,0.0476483050847458,0.00530932203389831
"302","Pereira Barreto",0.978286384976526,0.0197605633802817,0.00195305164319249
"303","Peruíbe",0.937916317991632,0.0620836820083682,0
"304","Piacatu",0.932,0.041,0.027
"305","Piedade",0.972847619047619,0.0174285714285714,0.00972380952380952
"306","Pilar do Sul",0.946842809364548,0.0183244147157191,0.0348327759197324
"307","Pindamonhangaba",0.938575141242938,0.0425299435028249,0.0188949152542373
"308","Piracaia",0.937,0.052,0.011
"309","Piracicaba",0.944464406779661,0.0461326271186441,0.00940296610169492
"310","Piraju",0.950815476190476,0.0284375,0.0207470238095238
"311","Pirajuí",0.990833333333333,0.00641666666666667,0.00275
"312","Pirangi",1,0,0
"313","Pirapora do Bom Jesus",0.912,0.053,0.035
"314","Pirapozinho",0.896301694915254,0.0778338983050847,0.025864406779661
"315","Pirassununga",0.942648044692737,0.0433631284916201,0.0139888268156425
"316","Piratininga",0.963,0.037,0
"317","Pitangueiras",0.935611620795107,0.0383608562691132,0.0260275229357798
"318","Planalto",0.963,0.016,0.021
"319","Poá",0.953235849056604,0.0392146226415094,0.00754952830188679
"320","Poloni",0.899,0.089,0.012
"321","Pompéia",0.977,0.023,0
"322","Pongaí",0.878,0.084,0.038
"323","Pontal",0.945341772151899,0.0413670886075949,0.0132911392405063
"324","Populina",0.948,0.052,0
"325","Porangaba",0.872,0.082,0.046
"326","Porto Feliz",0.982181818181818,0.0178181818181818,0
"327","Porto Ferreira",0.877583333333333,0.0906775362318841,0.0317391304347826
"328","Praia Grande",0.913413533834586,0.0721345029239766,0.0144519632414369
"329","Presidente Bernardes",0.924379310344828,0.0373655172413793,0.0382551724137931
"330","Presidente Epitácio",0.902392120075047,0.0729587242026266,0.0246491557223265
"331","Presidente Prudente",0.896048607833884,0.0856281264747522,0.0183232656913638
"332","Presidente Venceslau",0.907967532467532,0.0585454545454545,0.033487012987013
"333","Promissão",0.832218362282878,0.106531017369727,0.0612506203473945
"334","Quadra",0.953,0,0.047
"335","Quatá",0.99,0.01,0
"336","Rancharia",0.984088050314465,0.0145220125786164,0.00138993710691824
"337","Regente Feijó",0.929846153846154,0.0626153846153846,0.00753846153846154
"338","Registro",0.951197106690778,0.0441591320072333,0.00464376130198915
"339","Ribeirão Bonito",0.961,0.039,0
"340","Ribeirão Branco",1,0,0
"341","Ribeirão do Sul",0.883,0.067,0.05
"342","Ribeirão dos Índios",0.927,0.061,0.012
"343","Ribeirão Pires",0.936347352024922,0.0585934579439252,0.00505919003115265
"344","Ribeirão Preto",0.883234730793786,0.0917676101298149,0.0249976590763992
"345","Rio Claro",0.941875290472502,0.0448226181254841,0.0133020914020139
"346","Rio das Pedras",0.908183486238532,0.0480795107033639,0.043737003058104
"347","Rio Grande da Serra",0.956,0.044,0
"348","Riolândia",0.951677966101695,0.0296101694915254,0.0187118644067797
"349","Riversul",0.918,0.044,0.038
"350","Rosana",0.918808917197452,0.0662866242038217,0.0149044585987261
"351","Roseira",0.8392,0.11108,0.04972
"352","Salesópolis",0.754494845360825,0.143613402061856,0.10189175257732
"353","Salto",0.962516971279373,0.0347467362924282,0.00273629242819843
"354","Salto de Pirapora",0.863713375796178,0.0804904458598726,0.055796178343949
"355","Salto Grande",0.83,0.145,0.025
"356","Sandovalina",0.977,0.023,0
"357","Santa Adélia",0.97,0.03,0
"358","Santa Bárbara d'Oeste",NA,NA,NA
"359","Santa Branca",0.839,0.093,0.068
"360","Santa Cruz das Palmeiras",0.901350299401198,0.0369760479041916,0.0616736526946108
"361","Santa Cruz do Rio Pardo",0.868812227074236,0.053438864628821,0.0777489082969432
"362","Santa Fé do Sul",0.989793650793651,0.00392063492063492,0.00628571428571429
"363","Santa Gertrudes",0.979,0.019,0.002
"364","Santa Isabel",0.974444915254237,0.0128771186440678,0.0126779661016949
"365","Santa Mercedes",0.966,0.023,0.011
"366","Santa Rita d'Oeste",0.879,0.121,0
"367","Santa Rita do Passa Quatro",0.904957805907173,0.0745611814345992,0.0204810126582278
"368","Santa Rosa de Viterbo",0.736582222222222,0.133222222222222,0.130195555555556
"369","Santana de Parnaíba",0.940722906403941,0.0569839901477832,0.00229310344827586
"370","Santo Anastácio",0.899657794676806,0.0611254752851711,0.0392167300380228
"371","Santo André",0.882834428850595,0.0954983123112454,0.0216672588381595
"372","Santo Antônio da Alegria",0.886,0.083,0.031
"373","Santo Antônio do Aracanguá",1,0,0
"374","Santo Antônio do Jardim",0.986,0,0.014
"375","Santo Antônio do Pinhal",0.94,0.038,0.022
"376","Santos",0.933906819716408,0.0577542201215395,0.00833896016205267
"377","São Bernardo do Campo",0.884894272445821,0.0920671826625387,0.0230385448916409
"378","São Caetano do Sul",0.883777777777778,0.102229777777778,0.0139924444444444
"379","São Carlos",0.940188323917137,0.0514684557438795,0.00834322033898305
"380","São João da Boa Vista",0.96463712374582,0.0329548494983278,0.00240802675585284
"381","São João das Duas Pontes",0.92,0.08,0
"382","São João de Iracema",0.955,0.045,0
"383","São João do Pau d'Alho",1,0,0
"384","São Joaquim da Barra",0.970703703703704,0.0181111111111111,0.0111851851851852
"385","São José do Rio Pardo",0.967021459227468,0.0299914163090129,0.00298712446351931
"386","São José do Rio Preto",0.950659408514787,0.0402508937276568,0.00908969775755606
"387","São José dos Campos",0.916794465610588,0.0793932223781833,0.0038123120112292
"388","São Lourenço da Serra",0.867108808290155,0.100740932642487,0.0321502590673575
"389","São Manuel",0.951331460674157,0.0486685393258427,0
"390","São Miguel Arcanjo",0.94172972972973,0.0393783783783784,0.0188918918918919
"391","São Paulo",0.891228841301234,0.0947464366091523,0.0140247220896133
"392","São Pedro",0.955786666666667,0.0419688888888889,0.00224444444444444
"393","São Roque",0.899460490463215,0.0789713896457766,0.0215681198910082
"394","São Sebastião",0.982972222222222,0.0165444444444444,0.000483333333333333
"395","São Sebastião da Grama",1,0,0
"396","São Simão",0.864361963190184,0.113276073619632,0.022361963190184
"397","São Vicente",0.920143115942029,0.0705597826086957,0.00929710144927536
"398","Sarapuí",0.94,0.019,0.041
"399","Sebastianópolis do Sul",0.963,0.019,0.018
"400","Serra Negra",0.912354430379747,0.0488101265822785,0.0388354430379747
"401","Serrana",0.905980620155039,0.0490193798449612,0.045
"402","Sertãozinho",0.9192997002997,0.0548131868131868,0.0258871128871129
"403","Sete Barras",0.943,0.024,0.033
"404","Socorro",0.948482649842271,0.0380378548895899,0.0134794952681388
"405","Sorocaba",0.929266826923077,0.058476701183432,0.0122564718934911
"406","Sud Mennucci",0.967,0.018,0.015
"407","Sumaré",0.956071917808219,0.0405251141552511,0.00340296803652968
"408","Suzano",0.924933382679497,0.0604374537379719,0.0146291635825315
"409","Tabapuã",0.971,0.029,0
"410","Tabatinga",0.94468085106383,0.0553191489361702,0
"411","Taboão da Serra",0.920045859872611,0.0714503184713376,0.00850382165605095
"412","Taguaí",0.965,0.009,0.026
"413","Taiúva",0.994,0,0.006
"414","Tambaú",0.984678571428571,0.0153214285714286,0
"415","Tanabi",0.959095238095238,0.0409047619047619,0
"416","Taquaral",0.97,0,0.03
"417","Taquaritinga",0.989426605504587,0.00911467889908257,0.00145871559633028
"418","Taquarituba",0.945526666666667,0.03633,0.0181433333333333
"419","Taquarivaí",0.906,0.094,0
"420","Tarabai",0.799,0.139,0.062
"421","Tarumã",0.82124,0.11376,0.065
"422","Tatuí",0.94560826446281,0.0426909090909091,0.011700826446281
"423","Taubaté",0.956859433258762,0.0280141685309471,0.0151263982102908
"424","Tejupá",0.91,0.011,0.079
"425","Teodoro Sampaio",0.914931677018634,0.054,0.0310683229813665
"426","Tietê",0.94128125,0.0159955357142857,0.0427232142857143
"427","Torre de Pedra",0.888,0.102,0.01
"428","Torrinha",0.958,0.003,0.039
"429","Tremembé",0.942465517241379,0.0526264367816092,0.00490804597701149
"430","Três Fronteiras",0.941,0.059,0
"431","Tupã",0.943787878787879,0.0493090909090909,0.0069030303030303
"432","Tupi Paulista",0.9528,0.0408,0.0064
"433","Turiúba",0.984,0.016,0
"434","Ubatuba",0.94567,0.05118,0.00315
"435","Uchoa",0.787,0.172,0.041
"436","Urânia",0.968,0.032,0
"437","Uru",0.75,0.162,0.088
"438","Urupês",0.984877551020408,0.0151224489795918,0
"439","Valinhos",0.95194683175528,0.0361995630007283,0.0118536052439913
"440","Valparaíso",0.939272727272727,0.0607272727272727,0
"441","Vargem Grande do Sul",0.907524344569288,0.0751647940074906,0.017310861423221
"442","Vargem Grande Paulista",0.94037216828479,0.0545533980582524,0.00507443365695793
"443","Várzea Paulista",0.851131016042781,0.132609625668449,0.0162593582887701
"444","Vera Cruz",0.984,0.008,0.008
"445","Vinhedo",0.860768189509306,0.101115059221658,0.0381167512690355
"446","Viradouro",0.959,0.041,0
"447","Votorantim",0.947370297029703,0.0340752475247525,0.0185544554455446
"448","Votuporanga",0.955427041499331,0.0371619812583668,0.00741097724230254
"449","Zacarias",1,0,0
