"NO_MUNICIPIO","IN_SALA_DIRETORIA_1","IN_INTERNET_1","IN_REDES_SOCIAIS_1","IN_NOTURNO_1","IN_EJA_1","IN_SECRETARIA_1","IN_EQUIP_LOUSA_DIGITAL_1","IN_SALA_PROFESSOR_1","IN_AREA_VERDE_1","IN_REFEITORIO_1","IN_ORGAO_ASS_PAIS_1","IN_ORGAO_ASS_PAIS_MESTRES_1","IN_ORGAO_CONSELHO_ESCOLAR_1","IN_ORGAO_GREMIO_ESTUDANTIL_1","IN_BIBLIOTECA_1","IN_QUADRA_ESPORTES_1","ANO_LETIVO_1","Alunos_Turma_1","COMUNIDADE_1","ACESSIBILIDADE_1","Material_Ped_1","Equipamento_Inform_1","Lab_Inform_1","Atividades_complementares_1","Espacos_1","IN_BANHEIRO_CHUVEIRO_1","Equip_1","QT_SALAS_UTILIZADAS_1","QT_EQUIP_DVD_1","QT_EQUIP_SOM_1","QT_EQUIP_TV_1","QT_EQUIP_LOUSA_DIGITAL_1","QT_EQUIP_MULTIMIDIA_1","QT_DESKTOP_ALUNO_1","QT_COMP_PORTATIL_ALUNO_1","QT_PROF_ADMINISTRATIVOS_1","QT_PROF_SERVICOS_GERAIS_1","QT_PROF_BIBLIOTECARIO_1","QT_PROF_COORDENADOR_1","QT_PROF_NUTRICIONISTA_1","QT_PROF_ALIMENTACAO_1","QT_PROF_PEDAGOGIA_1","QT_PROF_SECRETARIO_1","QT_PROF_SEGURANCA_1","QT_PROF_MONITORES_1","QT_MAT_BAS_1","QT_MAT_EJA_1","QT_MAT_BAS_0_3_1","QT_MAT_BAS_4_5_1","QT_MAT_BAS_6_10_1","QT_MAT_BAS_11_14_1","QT_MAT_BAS_15_17_1","QT_MAT_BAS_18_MAIS_1","QT_DOC_BAS_1","QT_TUR_BAS_1","nEscolas","Homicidios","Furto"
"Altair",1,1,0,0.333333333333333,0.333333333333333,0.333333333333333,0,1,0.333333333333333,1,0,1,1,0.333333333333333,0,0,321,13.7077922077922,0,0.333333333333333,3.33333333333333,0.333333333333333,0.333333333333333,0.666666666666667,3,0.333333333333333,6.66666666666667,22,6,11,6,0,1,21,0,4,16,0,0,3,1,23,0,0,0,447,8,93,101,239,6,1,7,52,30,3,0,17
"Altinópolis",1,0.9,0.6,0.1,0.1,0.7,0,0.9,0.1,0.8,1,1.8,1.8,1,0.3,0.5,314,23.2595192307692,0.5,0.3,3.4,0.6,0.4,0.6,3.6,0.6,4.9,107,19,18,23,0,9,35,5,10,33,0,7,0,14,7,4,6,8,2036,57,377,349,882,321,71,36,109,87,10,2,126
"Alto Alegre",1,1,0,0,0,0.333333333333333,0,0.666666666666667,0,1,3,3.33333333333333,3.33333333333333,3,0.333333333333333,0.333333333333333,316,17.8666666666667,0,0.666666666666667,3.33333333333333,0.333333333333333,0,0.333333333333333,2,0,5,25,3,9,3,0,0,12,0,1,4,0,2,1,0,0,0,0,0,378,0,38,106,224,10,0,0,19,20,3,0,15
"Alumínio",0.363636363636364,0,0,0.0909090909090909,0.0909090909090909,0.818181818181818,0,0.545454545454545,0,0.636363636363636,6.54545454545455,6.81818181818182,6.63636363636364,6.54545454545455,0,0.545454545454545,317.272727272727,19.2615083617793,0,0.0909090909090909,1,0.909090909090909,0.818181818181818,0.454545454545455,2.72727272727273,0.272727272727273,5.81818181818182,103,15,31,28,0,7,111,0,0,0,0,0,0,0,0,0,0,0,2932,69,350,473,1041,880,138,50,196,143,11,1,141
"Álvares Florence",1,1,0,0,0,1,0,0.666666666666667,0,0.333333333333333,0,1,1,0.666666666666667,0,0.666666666666667,321.666666666667,12.3851851851852,0.333333333333333,1,6.66666666666667,1,0.333333333333333,0.666666666666667,2.66666666666667,0,5.33333333333333,29,2,11,5,0,0,31,1,3,5,4,4,3,5,0,1,0,0,410,0,83,68,193,63,3,0,38,30,3,0,51
"Álvares Machado",0.916666666666667,0.916666666666667,0.75,0,0,0.75,0,0.75,0.0833333333333333,0.5,2.25,2.91666666666667,2.91666666666667,2.41666666666667,0.166666666666667,0.5,316.166666666667,19.4011037573538,0.333333333333333,0.833333333333333,5.08333333333333,0.5,0.5,0.5,3.41666666666667,0.25,5.75,101,18,35,20,0,8,62,2,7,70,1,4,11,2,15,6,2,0,3302,0,267,545,1246,1088,154,2,179,150,12,0,155
"Álvaro de Carvalho",1,1,1,0,0,1,0,1,0,1,0.5,1,1,0.5,0,0,317,17.2666666666667,0.5,0.5,6.5,1,0.5,0.5,3.5,0,6,17,3,1,3,0,1,30,0,4,20,0,4,2,16,5,2,0,0,340,0,3,90,240,7,0,0,26,20,2,1,29
"Alvinlândia",0.666666666666667,1,0.333333333333333,0,0,1,0,0.666666666666667,0,1,0,0.333333333333333,0.666666666666667,0,0,0,317,17.9222222222222,0.333333333333333,0.666666666666667,6.66666666666667,0.333333333333333,0,0.666666666666667,3,0.666666666666667,6.66666666666667,22,18,7,18,0,3,26,1,0,8,2,0,2,7,3,1,0,0,432,0,111,79,231,11,0,0,81,23,3,0,8
"Americana",0.941176470588235,0.862745098039216,0.196078431372549,0.0392156862745098,0.0392156862745098,0.549019607843137,0.156862745098039,0.529411764705882,0.215686274509804,0.784313725490196,0.411764705882353,0.941176470588235,1,0.372549019607843,0.254901960784314,0.196078431372549,321.980392156863,21.5774127303825,0.0980392156862745,0.117647058823529,4.66666666666667,0.352941176470588,0.215686274509804,0.254901960784314,3.52941176470588,0.235294117647059,5.82352941176471,437,158,220,161,107,37,219,39,38,166,6,51,0,209,49,6,3,2,12968,58,2308,3852,4685,1938,110,75,873,547,51,8,2497
"Américo Brasiliense",0.714285714285714,0.785714285714286,0.5,0.0714285714285714,0.0714285714285714,0.785714285714286,0.214285714285714,0.785714285714286,0.0714285714285714,0.5,1.35714285714286,2.14285714285714,1.92857142857143,1.57142857142857,0.142857142857143,0.214285714285714,310,21.9376525686032,0.714285714285714,0.285714285714286,5.85714285714286,0.5,0.428571428571429,0.214285714285714,2.78571428571429,0.142857142857143,5.5,186,54,28,57,7,6,124,5,18,89,2,7,0,2,2,5,0,15,5428,89,1026,935,2255,1083,41,88,298,236,14,2,274
"Américo de Campos",0.75,0.75,0.25,0,0,0.75,0.25,0.75,0,0.75,2.25,3,3,2.75,0.5,0.25,318.25,20.6376488095238,0.5,0.25,6.25,0.75,0.75,1,3,0.5,6,38,7,15,19,1,10,57,3,4,7,2,1,3,8,1,2,1,2,946,0,124,119,335,254,107,7,49,44,4,0,77
