"NO_MUNICIPIO","IN_SALA_DIRETORIA_1","IN_INTERNET_1","IN_REDES_SOCIAIS_1","IN_NOTURNO_1","IN_EJA_1","IN_SECRETARIA_1","IN_EQUIP_LOUSA_DIGITAL_1","IN_SALA_PROFESSOR_1","IN_AREA_VERDE_1","IN_REFEITORIO_1","IN_ORGAO_ASS_PAIS_1","IN_ORGAO_ASS_PAIS_MESTRES_1","IN_ORGAO_CONSELHO_ESCOLAR_1","IN_ORGAO_GREMIO_ESTUDANTIL_1","IN_BIBLIOTECA_1","IN_QUADRA_ESPORTES_1","ANO_LETIVO_1","Alunos_Turma_1","COMUNIDADE_1","ACESSIBILIDADE_1","Material_Ped_1","Equipamento_Inform_1","Lab_Inform_1","Atividades_complementares_1","Espacos_1","IN_BANHEIRO_CHUVEIRO_1","Equip_1","QT_SALAS_UTILIZADAS_1","QT_EQUIP_DVD_1","QT_EQUIP_SOM_1","QT_EQUIP_TV_1","QT_EQUIP_LOUSA_DIGITAL_1","QT_EQUIP_MULTIMIDIA_1","QT_DESKTOP_ALUNO_1","QT_COMP_PORTATIL_ALUNO_1","QT_PROF_ADMINISTRATIVOS_1","QT_PROF_SERVICOS_GERAIS_1","QT_PROF_BIBLIOTECARIO_1","QT_PROF_COORDENADOR_1","QT_PROF_NUTRICIONISTA_1","QT_PROF_ALIMENTACAO_1","QT_PROF_PEDAGOGIA_1","QT_PROF_SECRETARIO_1","QT_PROF_SEGURANCA_1","QT_PROF_MONITORES_1","QT_MAT_BAS_1","QT_MAT_EJA_1","QT_MAT_BAS_0_3_1","QT_MAT_BAS_4_5_1","QT_MAT_BAS_6_10_1","QT_MAT_BAS_11_14_1","QT_MAT_BAS_15_17_1","QT_MAT_BAS_18_MAIS_1","QT_DOC_BAS_1","QT_TUR_BAS_1","nEscolas","Homicidios","Furto"
"Cardoso",0.555555555555556,0.333333333333333,0.111111111111111,0.111111111111111,0.111111111111111,0.888888888888889,0,0.555555555555556,0,0.777777777777778,0,1,1,0.333333333333333,0,0.555555555555556,319.222222222222,16.7519400352734,0.111111111111111,0.111111111111111,4.22222222222222,0.444444444444444,0.333333333333333,0.555555555555556,3,0.333333333333333,4.22222222222222,77,12,19,10,0,0,52,3,9,48,1,3,1,8,1,3,0,7,1414,73,205,234,572,286,21,96,117,76,9,1,148
"Casa Branca",0.571428571428571,0.857142857142857,0.0714285714285714,0.142857142857143,0.142857142857143,0.571428571428571,0.0714285714285714,0.5,0,0.357142857142857,0.642857142857143,1.42857142857143,0.714285714285714,0.642857142857143,0.0714285714285714,0.5,327.428571428571,15.2156604949672,0.0714285714285714,0.428571428571429,4.21428571428571,0.285714285714286,0.285714285714286,0.428571428571429,2.57142857142857,0.142857142857143,4.35714285714286,139,23,41,34,1,4,42,0,13,41,0,3,11,34,11,0,8,0,2381,36,535,484,1254,71,1,36,222,150,14,2,257
"Cássia dos Coqueiros",0.75,0.5,0.25,0,0,0.5,0,1,0.25,0.5,2.25,3,2.5,2.25,0,0.25,317.25,17.0535714285714,0.5,0,4,0.5,0.5,0.25,3.5,0.25,3.25,28,8,5,11,0,0,19,0,5,10,0,2,2,2,1,2,0,0,506,0,95,76,171,142,22,0,121,29,4,0,16
"Castilho",1,1,0.818181818181818,0.0909090909090909,0.0909090909090909,1,0,1,0.272727272727273,0.363636363636364,0,0.909090909090909,0.909090909090909,0.0909090909090909,0,0.272727272727273,314.909090909091,17.3729978920418,0.454545454545455,0.636363636363636,6.18181818181818,0.0909090909090909,0.181818181818182,0.636363636363636,3.63636363636364,0.454545454545455,5.45454545454545,94,11,38,17,0,4,5,0,15,43,4,14,3,14,8,0,0,0,2370,34,386,506,1289,149,9,31,150,127,11,0,196
"Catanduva",0.828571428571429,0.857142857142857,0.114285714285714,0.0285714285714286,0.0285714285714286,0.714285714285714,0.2,0.657142857142857,0.0571428571428571,0.542857142857143,1.4,2.02857142857143,1.94285714285714,1.31428571428571,0.0571428571428571,0.428571428571429,319,19.1074785186814,0.142857142857143,0.171428571428571,5.11428571428571,0.571428571428571,0.485714285714286,0.428571428571429,3.4,0.314285714285714,5.68571428571429,707,98,128,142,7,14,371,8,12,110,1,17,2,50,13,14,0,6,10529,190,2190,1936,4695,1419,145,144,390,552,35,3,986
"Catiguá",0.666666666666667,0.666666666666667,0,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,3,3.66666666666667,3.33333333333333,3,0,0.666666666666667,323.333333333333,21.147619047619,0,0,4,0.333333333333333,0.333333333333333,0.333333333333333,2,0,5.66666666666667,22,4,9,8,0,2,27,0,3,10,1,1,1,4,1,1,0,1,718,0,109,155,431,14,0,9,11,33,3,0,47
"Cedral",1,1,0,0,0,0.666666666666667,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,0,0,0.333333333333333,318,18.7150239940938,0,1,6.66666666666667,0.666666666666667,0.333333333333333,0.666666666666667,3.33333333333333,0.666666666666667,5.66666666666667,49,12,5,12,22,0,33,3,22,27,1,0,0,2,3,6,0,1,1610,0,204,216,610,508,71,1,28,72,3,0,102
"Cerqueira César",0.875,0.875,0.375,0.125,0.125,0.875,0.125,1,0.5,0.875,0,0.625,0.875,0,0,0.375,327.375,15.9255956859941,0.25,0.375,5.25,0.25,0.25,0.75,3.5,0.25,5.25,94,15,44,14,1,4,17,1,7,47,2,1,0,7,2,6,0,8,2327,8,491,485,1288,55,0,8,154,132,8,2,102
"Cerquilho",1,1,0,0.0416666666666667,0.0416666666666667,0.5,0.0416666666666667,1,0.166666666666667,0.791666666666667,0,1,1,0,0,0.291666666666667,323,21.1928985076528,0,0.0416666666666667,5.5,0.458333333333333,0.125,0.25,3.375,0.166666666666667,5.33333333333333,206,47,145,68,1,35,55,2,12,32,0,9,20,31,112,0,0,0,6709,113,1313,1052,2272,1792,132,148,462,313,24,1,251
"Cesário Lange",0.571428571428571,1,0.142857142857143,0,0,0.642857142857143,0.0714285714285714,0.785714285714286,0.0714285714285714,0.857142857142857,0,1,0.214285714285714,0,0.142857142857143,0.357142857142857,326.642857142857,19.7592105263158,0.0714285714285714,0.142857142857143,4.14285714285714,0.357142857142857,0.285714285714286,0.357142857142857,2.5,0.214285714285714,5.28571428571429,97,54,35,71,1,11,127,4,15,20,0,4,0,17,0,7,0,0,3452,0,435,541,1286,1093,96,1,185,159,14,1,118
"Charqueada",1,0.875,0.875,0.125,0.125,1,0,1,0,0.75,0,1,1,0.375,0.25,0.75,311.25,20.605207466145,0.5,0.625,5.5,0.875,0.5,0.375,3,0.375,6.5,91,19,28,21,0,4,96,6,8,10,2,37,1,4,9,7,0,0,2064,29,122,394,985,496,36,31,120,101,8,0,110
"Chavantes",1,0.8,0.2,0.1,0.1,0.8,0.1,0.9,0.3,0.8,0.1,1,0.7,0.4,0,0.3,312.8,18.6217604617604,0.5,0.3,5.1,0.8,0.7,0.6,3.3,0.1,6.2,64,10,32,14,1,12,153,1,6,20,0,2,0,7,4,4,0,8,1477,26,221,330,773,120,7,26,156,75,10,1,196
"Clementina",0.75,1,0.25,0,0,1,0,1,1,0.75,0,1,1,0,0,0.5,339.75,18.3138736263736,0.25,1,6,0.5,0.5,1,3.75,1,6,38,27,34,28,0,4,48,0,1,15,1,0,4,7,5,4,0,2,947,0,191,208,517,31,0,0,30,48,4,0,49
"Colina",1,1,0.2,0.0666666666666667,0.0666666666666667,0.933333333333333,0.133333333333333,0.933333333333333,0.133333333333333,0.666666666666667,0,0.933333333333333,0.933333333333333,0.133333333333333,0.133333333333333,0.466666666666667,327.8,20.0505777555777,0.333333333333333,0.333333333333333,4.4,0.733333333333333,0.666666666666667,0.666666666666667,3.26666666666667,0.333333333333333,6.26666666666667,114,35,40,40,3,10,253,6,10,63,1,2,7,13,19,16,1,3,3043,25,482,417,1055,836,228,25,197,141,15,2,229
"Colômbia",0.875,1,0.25,0.125,0.125,0.375,0.625,0.625,0,0.875,0.125,1,0.5,0,0,0.25,320.75,18.2542658730159,0.375,0.875,4.25,0.625,0.5,0.125,1.875,0,5.25,57,8,19,15,7,2,36,17,2,20,2,11,8,20,2,3,2,0,1349,13,147,210,496,449,34,13,111,64,8,0,50
"Conchal",0.578947368421053,0.947368421052632,0.0526315789473684,0.0526315789473684,0.105263157894737,0.631578947368421,0.263157894736842,0.631578947368421,0.736842105263158,0.578947368421053,0,1,1,0.157894736842105,0.0526315789473684,0.263157894736842,317.526315789474,19.5519555134514,0.210526315789474,0.0526315789473684,2.05263157894737,0.315789473684211,0.263157894736842,0.263157894736842,2.63157894736842,0.526315789473684,4.78947368421053,157,64,76,76,5,8,144,3,7,58,0,14,14,1,9,4,0,0,3737,124,709,785,1922,188,24,109,535,184,19,2,244
"Conchas",0.666666666666667,0.916666666666667,0.583333333333333,0.0833333333333333,0.0833333333333333,0.333333333333333,0,0.666666666666667,0,0.583333333333333,0,0.583333333333333,1,0.166666666666667,0.0833333333333333,0.333333333333333,318.416666666667,18.6868981481481,0.166666666666667,0.25,4.08333333333333,0.666666666666667,0.333333333333333,0.333333333333333,2.41666666666667,0.0833333333333333,4.66666666666667,120,11,17,16,0,6,73,65,15,38,0,1,10,11,9,5,0,0,2345,28,381,326,918,655,40,25,158,109,12,0,98
"Cordeirópolis",1,1,1,0.0769230769230769,0.0769230769230769,0.769230769230769,0,0.769230769230769,0,0.769230769230769,0,1,1,0,0,0.307692307692308,318,20.631657142141,0.307692307692308,1,7.84615384615385,1,0.153846153846154,0.461538461538462,2.53846153846154,0.0769230769230769,5.46153846153846,128,46,33,52,0,4,13,556,44,48,1,13,2,28,0,0,4,0,3084,107,695,624,1557,101,14,93,147,148,13,1,220
"Coroados",0.666666666666667,1,0.666666666666667,0,0,0.666666666666667,0,1,0.666666666666667,1,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,327,15.013468013468,0.333333333333333,1,4.33333333333333,0.333333333333333,0.333333333333333,0.666666666666667,3.33333333333333,1,4,28,7,9,13,0,2,20,0,1,10,0,0,3,5,4,1,0,1,637,0,159,143,309,25,0,1,60,33,3,2,57
"Coronel Macedo",1,1,0.5,0,0,0.5,0,1,0,1,0,0.5,0.5,0,0,0.5,317,15.9861111111111,0,0.5,3,0.5,0.5,0.5,2.5,0,6,16,3,7,5,0,1,16,0,8,10,1,0,2,3,3,0,0,5,453,0,56,102,286,9,0,0,27,26,2,0,13
"Corumbataí",1,1,0.666666666666667,0,0,1,0,1,0.333333333333333,1,0.333333333333333,1,0.333333333333333,0.333333333333333,0,0.666666666666667,323.666666666667,18.42,0.666666666666667,0.333333333333333,7,1,0,1,4,0.666666666666667,6,30,6,5,9,0,0,17,3,17,11,0,4,3,10,1,2,0,0,764,0,75,123,306,243,17,0,74,37,3,3,34
"Cosmópolis",0.892857142857143,0.857142857142857,0.571428571428571,0.0357142857142857,0.0357142857142857,0.678571428571429,0.142857142857143,0.821428571428571,0.178571428571429,0.857142857142857,0.321428571428571,1.28571428571429,1.28571428571429,0.321428571428571,0.357142857142857,0.571428571428571,315.571428571429,23.092061090976,0.357142857142857,0.464285714285714,5.57142857142857,0.571428571428571,0.392857142857143,0.428571428571429,3.39285714285714,0.642857142857143,5.71428571428571,216,80,84,98,5,24,169,7,26,80,1,11,1,77,25,16,0,5,8878,160,1260,1305,3572,2312,341,88,487,361,28,7,584
"Cosmorama",0.666666666666667,1,0,0,0,0.333333333333333,0,0.666666666666667,0,0.333333333333333,9,9,9,9,0,0.333333333333333,317.333333333333,18.6521464646465,0,0,5,0.333333333333333,0.333333333333333,0.333333333333333,2.33333333333333,0.333333333333333,6.33333333333333,40,2,16,3,0,2,21,56,6,20,1,6,3,4,0,2,0,7,1056,0,160,200,447,241,8,0,51,51,3,2,105
"Cotia",0.826923076923077,0.903846153846154,0.230769230769231,0.0673076923076923,0.0576923076923077,0.923076923076923,0,0.730769230769231,0.0865384615384615,0.673076923076923,0.711538461538462,1.56730769230769,1.50961538461538,0.711538461538462,0.173076923076923,0.240384615384615,317.346153846154,23.556816397287,0.201923076923077,0.115384615384615,4.72115384615385,0.173076923076923,0.0384615384615385,0.0769230769230769,2.73076923076923,0.0769230769230769,5.51923076923077,686,245,252,277,0,60,68,8,100,351,13,59,17,152,56,84,6,13,28925,454,3578,5809,15943,2839,307,449,2285,1163,104,14,1793
"Cravinhos",0.923076923076923,0.846153846153846,0.538461538461538,0.0769230769230769,0.0769230769230769,1,0,1,0.384615384615385,0.692307692307692,0,0.923076923076923,0.923076923076923,0.0769230769230769,0.307692307692308,0.538461538461538,310.846153846154,22.2254165374855,0.384615384615385,0.384615384615385,5.76923076923077,0.384615384615385,0.307692307692308,0.461538461538462,3.76923076923077,0.538461538461538,6.07692307692308,110,29,27,35,0,11,125,66,4,38,2,7,0,24,7,12,1,5,3699,58,552,624,1819,618,32,54,124,149,13,1,234
"Cristais Paulista",1,1,1,0,0,1,0.666666666666667,1,0.333333333333333,0.666666666666667,0,1,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,317.666666666667,21.1415168484134,0,1,8,0.666666666666667,0.666666666666667,1,3.66666666666667,0.666666666666667,5.66666666666667,42,4,22,4,2,5,53,2,4,8,0,3,2,2,3,4,0,8,1277,0,30,204,530,457,56,0,75,60,3,0,118
"Cruzália",0.5,1,0,0.5,0.5,0.5,0,0.5,0.5,1,0,0.5,0,0,0,0,319,15.5833333333333,0.5,0,4,0,0,1,4.5,0.5,3.5,10,5,5,9,0,0,0,0,1,1,0,0,0,0,1,0,0,0,133,14,76,32,11,0,0,14,20,8,2,0,10
"Cruzeiro",0.806451612903226,0.838709677419355,0.451612903225806,0.032258064516129,0.032258064516129,0.612903225806452,0,0.67741935483871,0.0967741935483871,0.451612903225806,0.67741935483871,1.41935483870968,1.29032258064516,0.806451612903226,0.129032258064516,0.290322580645161,314.129032258065,19.1532376225925,0.387096774193548,0.161290322580645,4.64516129032258,0.516129032258065,0.451612903225806,0.354838709677419,2.83870967741935,0.129032258064516,5.32258064516129,265,31,39,49,0,10,159,18,18,63,2,12,0,31,18,5,2,3,7038,139,724,1416,3201,1464,106,127,557,333,31,26,731
"Cubatão",0.945454545454545,0.890909090909091,0.345454545454545,0.0909090909090909,0.0727272727272727,0.836363636363636,0.0909090909090909,0.781818181818182,0.127272727272727,0.872727272727273,1.10909090909091,1.61818181818182,1.70909090909091,1.05454545454545,0.127272727272727,0.236363636363636,318.018181818182,19.9012252034015,0.309090909090909,0.163636363636364,5.27272727272727,0.472727272727273,0.4,0.418181818181818,2.50909090909091,0.272727272727273,5.2,518,67,119,101,5,34,144,101,59,117,4,66,22,143,59,43,55,0,15453,860,1587,2766,5964,3820,616,700,1116,744,55,3,1204
"Cunha",0.393939393939394,0.0909090909090909,0,0,0,0.272727272727273,0.0303030303030303,0.363636363636364,0.0909090909090909,0.363636363636364,3,3.06060606060606,3.60606060606061,3.06060606060606,0.0303030303030303,0.121212121212121,326.515151515152,12.4627622377622,0.212121212121212,0.121212121212121,2.63636363636364,0.393939393939394,0.121212121212121,0.181818181818182,1.09090909090909,0,2.84848484848485,142,26,16,36,1,7,99,0,11,13,4,8,0,2,1,1,0,7,1595,0,205,335,1011,42,1,1,558,105,33,3,127
"Descalvado",0.739130434782609,1,0.391304347826087,0.0434782608695652,0.0434782608695652,0.739130434782609,0.782608695652174,0.91304347826087,0.130434782608696,0.739130434782609,0.434782608695652,1.34782608695652,0.695652173913043,0.391304347826087,0.130434782608696,0.260869565217391,314.478260869565,22.0934666356661,0.260869565217391,0.347826086956522,7.26086956521739,0.739130434782609,0.391304347826087,0.695652173913043,3.52173913043478,0.347826086956522,6.08695652173913,157,49,38,60,65,29,178,15,4,64,5,7,0,11,9,14,0,6,4020,121,444,633,1499,1201,150,93,366,173,23,2,254
"Diadema",0.875,0.828125,0.078125,0.234375,0.234375,0.96875,0,0.984375,0.078125,0.625,0.421875,0.421875,1.359375,0.4375,0.375,0.265625,324.859375,24.4063874934171,0.203125,0.265625,5.40625,0.3125,0.265625,0.390625,3.96875,0.703125,5.515625,882,140,327,155,0,48,99,6,54,270,1,24,8,223,86,20,102,24,28359,2446,4370,9217,12028,274,384,2086,1113,1094,64,23,3688
"Dirce Reis",1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,333,13.8571428571429,0,0,3,0,0,0,2,0,7,7,4,1,4,0,0,0,0,1,4,0,1,1,2,0,1,0,2,97,0,38,37,22,0,0,0,12,7,1,0,4
"Divinolândia",0.833333333333333,0.833333333333333,0.833333333333333,0,0,1,0.666666666666667,0.833333333333333,0.166666666666667,0.333333333333333,2,2.33333333333333,2.16666666666667,1.5,0.166666666666667,0.333333333333333,319.5,15.6039141414141,0.833333333333333,0.5,4.16666666666667,0.833333333333333,0.666666666666667,0.666666666666667,2.16666666666667,0,5.83333333333333,48,19,10,30,4,4,65,2,2,10,2,2,4,10,5,4,0,0,1217,0,178,204,574,242,19,0,93,71,6,0,49
"Dobrada",0.75,1,0.25,0.25,0.25,0.75,0,1,1,1,0,1,0.25,0,0,0,318,17.3979166666667,0.5,1,6.75,0.25,0.25,1,3.5,0.5,4.75,31,7,9,13,0,0,0,22,1,13,1,4,0,11,0,1,0,4,626,27,221,263,115,0,1,26,75,36,4,1,14
"Dois Córregos",0.777777777777778,1,0.555555555555556,0.111111111111111,0.111111111111111,1,0.666666666666667,0.555555555555556,0.111111111111111,0.444444444444444,0,1,1,0.555555555555556,0,0.666666666666667,323.777777777778,20.5770148436815,0.555555555555556,0,6.11111111111111,0.555555555555556,0.555555555555556,0.333333333333333,2.66666666666667,0.111111111111111,6.22222222222222,99,54,17,60,10,8,41,26,5,18,4,23,0,16,0,7,0,6,3171,118,324,601,1556,560,13,117,130,150,9,5,274
"Dolcinópolis",1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,317,17.3076923076923,1,0,3,0,0,1,2,0,8,12,2,1,3,0,1,0,0,1,2,0,0,1,0,0,0,0,0,225,0,51,59,109,6,0,0,24,13,1,0,11
"Dourado",1,0.8,0,0,0,1,0.4,0.8,0,0.4,3.6,3.8,3.8,3.6,0,0.4,317.4,15.6532323232323,0,0.2,4.4,0.4,0.6,1,3,0.8,5.6,39,2,13,7,9,8,24,0,1,10,0,0,0,0,3,3,0,0,958,0,146,163,435,202,12,0,68,60,5,1,50
"Dracena",0.947368421052632,1,0.684210526315789,0.0526315789473684,0.0526315789473684,0.578947368421053,0,0.736842105263158,0.473684210526316,0.421052631578947,0,1,1,0.210526315789474,0,0.526315789473684,316.052631578947,18.1806054992554,0.578947368421053,0.842105263157895,6.31578947368421,0.526315789473684,0.526315789473684,0.789473684210526,3.94736842105263,0.631578947368421,6.05263157894737,200,51,52,53,0,11,133,0,42,79,0,0,19,46,21,5,0,0,4232,25,1102,828,1977,158,12,155,415,218,19,2,459
"Duartina",1,1,0.8,0,0,1,0,0.8,0,0.8,0,1,1,0,0,0.6,322,17.4204545454545,0.4,0.6,7.2,1,0.8,0.8,3.2,0.6,6.6,47,38,17,42,0,4,68,0,4,31,1,2,0,9,2,2,0,13,984,0,123,201,649,11,0,0,71,56,5,1,92
"Dumont",0.833333333333333,1,0.833333333333333,0.166666666666667,0.166666666666667,1,0.166666666666667,1,0,0.666666666666667,0,1,0.5,0,0,0.333333333333333,317,21.160045721187,0.333333333333333,0.833333333333333,5.33333333333333,0.333333333333333,0.5,0.833333333333333,3,0.166666666666667,5.83333333333333,53,8,7,10,1,4,32,0,0,19,0,4,6,12,5,7,1,4,1533,24,249,212,539,483,26,24,100,70,6,1,43
"Echaporã",0.666666666666667,0.333333333333333,0.333333333333333,0,0,0.666666666666667,0.333333333333333,1,0,1,3,3.66666666666667,3.66666666666667,3,0,0.333333333333333,311,16.7505827505827,0.333333333333333,0.333333333333333,3.33333333333333,0.333333333333333,0.666666666666667,1,3.33333333333333,0.666666666666667,5.66666666666667,28,8,6,12,2,3,22,0,1,12,1,2,0,0,0,1,0,5,734,0,161,138,413,22,0,0,49,42,3,0,19
"Eldorado",0.225806451612903,0.225806451612903,0.193548387096774,0.032258064516129,0.032258064516129,0.258064516129032,0,0.0645161290322581,0,0.161290322580645,2.93548387096774,3.2258064516129,3.16129032258065,2.90322580645161,0.0967741935483871,0.0967741935483871,324.806451612903,13.8673598802631,0.129032258064516,0.032258064516129,1.19354838709677,0.0645161290322581,0.0645161290322581,0.0645161290322581,1.80645161290323,0,2.48387096774194,100,22,17,32,0,3,30,0,10,28,3,7,0,24,16,11,6,2,1861,16,258,412,1082,93,1,15,299,121,31,0,71
"Elias Fausto",0.8,0.6,0,0,0,0.1,0,0.6,0,0.3,0.9,0.9,1.8,1,0.1,0.4,323.3,22.7562030075188,0,0,4,0.4,0.5,0.4,2.5,0,3.9,94,7,10,10,0,0,84,1,0,46,0,0,9,28,6,8,0,0,3035,0,367,426,1219,956,67,0,116,128,10,0,93
"Elisiário",0.5,1,1,0,0,1,0,0.5,0,0.5,0,1,0.5,0.5,0,0.5,322,18.0833333333333,0.5,0.5,5,0.5,0.5,1,3,0,6.5,19,5,7,6,0,2,24,2,1,14,0,2,2,0,0,0,0,0,507,0,64,83,191,163,6,0,41,27,2,0,10
"Embaúba",1,1,1,0,0,1,0.5,1,0,1,0,1,1,0,0,0.5,319,14.7142857142857,1,0.5,6,1,0,1,3.5,0.5,7,19,3,3,4,1,3,26,46,4,16,1,2,2,6,0,1,0,0,222,0,46,49,126,0,0,1,46,15,2,0,8
"Embu das Artes",0.622222222222222,0.333333333333333,0.222222222222222,0.244444444444444,0.244444444444444,0.911111111111111,0.0222222222222222,0.755555555555556,0.0444444444444444,0.622222222222222,2.15555555555556,2.55555555555556,2.55555555555556,2,0.0888888888888889,0.377777777777778,318.555555555556,23.5553509668483,0.266666666666667,0.177777777777778,3,0.511111111111111,0.0888888888888889,0.533333333333333,4,0.333333333333333,4.53333333333333,480,61,106,72,16,24,247,13,44,75,12,13,2,45,80,6,25,24,24047,804,2856,6423,12258,1553,332,625,890,966,45,21,1100
"Embu-Guaçu",0.909090909090909,0.666666666666667,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.363636363636364,0,0.575757575757576,0.151515151515152,0.666666666666667,0.0303030303030303,0.939393939393939,1,0.0303030303030303,0,0.242424242424242,329.060606060606,19.4886784494862,0.121212121212121,0.212121212121212,1.84848484848485,0.212121212121212,0.0606060606060606,0.151515151515152,2.36363636363636,0.242424242424242,3.84848484848485,192,53,43,58,0,6,24,4,14,82,0,12,27,52,3,3,0,0,5368,34,1372,1753,1909,286,12,36,755,263,33,5,385
"Emilianópolis",1,1,1,0.5,0.5,1,0.5,1,1,1,0,1,1,0,0,0.5,316,16.55625,1,1,7,0,0,1,3.5,0.5,7,19,3,12,7,1,3,0,0,2,12,1,0,2,5,2,1,0,0,438,20,99,55,130,129,5,20,19,26,2,0,11
"Engenheiro Coelho",0.888888888888889,0.555555555555556,0.222222222222222,0.111111111111111,0.111111111111111,0.888888888888889,0,0.666666666666667,0,0.777777777777778,1.11111111111111,1.66666666666667,1,1,0.222222222222222,0.111111111111111,326,18.2847520489677,0.222222222222222,0.333333333333333,4.88888888888889,0.222222222222222,0.333333333333333,0.444444444444444,2.55555555555556,0.555555555555556,5,89,17,27,27,0,0,44,0,8,26,0,2,1,28,3,10,1,0,2327,120,557,476,1099,74,30,91,115,132,9,0,127
"Espírito Santo do Pinhal",0.210526315789474,0.736842105263158,0,0,0,0.368421052631579,0,0.578947368421053,0.0526315789473684,0.842105263157895,0.0526315789473684,0.947368421052632,1,0,0.105263157894737,0,315.947368421053,19.642755124992,0.894736842105263,0.789473684210526,4.73684210526316,0.210526315789474,0.105263157894737,0.105263157894737,3.31578947368421,0.105263157894737,4.15789473684211,91,58,54,75,0,3,45,0,16,39,0,79,16,35,43,17,0,0,2420,0,673,668,1054,24,1,0,288,115,19,0,377
"Espírito Santo do Turvo",0.666666666666667,1,0,0.333333333333333,0.333333333333333,1,0.333333333333333,0.666666666666667,0,1,0.333333333333333,0.666666666666667,1,0,0,0.333333333333333,317.666666666667,18.7687908496732,0,0.666666666666667,3.66666666666667,0.333333333333333,0.333333333333333,0.333333333333333,3.33333333333333,0,5.33333333333333,25,3,8,4,8,1,17,0,6,11,1,4,0,0,1,0,2,0,585,6,121,127,315,16,0,6,85,31,3,1,48
"Estiva Gerbi",0.727272727272727,0.727272727272727,0,0,0,0.545454545454545,0,0.636363636363636,0.272727272727273,0.636363636363636,0,0.727272727272727,0.272727272727273,0,0.0909090909090909,0.272727272727273,311.727272727273,22.1401709401709,0.272727272727273,0.454545454545455,5,0.272727272727273,0,0.181818181818182,3,0.545454545454545,4.81818181818182,75,18,15,28,0,7,32,0,4,24,0,9,0,22,4,4,0,0,1749,0,247,248,629,554,71,0,247,76,11,0,91
"Estrela d'Oeste",0.75,0.75,0.75,0.25,0.25,1,0,0.75,0,0.5,0,1,1,0,0,0.25,319,15.2336850649351,0.75,0.5,5.75,0.25,0.25,0.5,3.25,0.25,5,44,11,4,15,0,1,12,0,2,50,4,4,1,8,1,4,0,1,928,16,204,205,471,32,0,16,114,57,4,0,55
"Estrela do Norte",0.666666666666667,1,0,0,0,0.666666666666667,0,1,0.333333333333333,0.333333333333333,0,0.333333333333333,1,0,0.333333333333333,0.333333333333333,332,17.1055555555556,0.666666666666667,0.666666666666667,4.33333333333333,0.333333333333333,0,0.333333333333333,2.66666666666667,0.333333333333333,7,13,7,2,8,0,2,14,0,2,12,2,2,1,5,7,3,0,0,354,0,81,69,188,16,0,0,47,20,3,1,22
"Euclides da Cunha Paulista",0.666666666666667,0.833333333333333,0.666666666666667,0.166666666666667,0.166666666666667,0.833333333333333,0,0.833333333333333,0.166666666666667,0.5,0,0.166666666666667,1,0.166666666666667,0,0.5,318.666666666667,13.7277777777778,0.5,0.5,4.33333333333333,0.333333333333333,0.666666666666667,0.166666666666667,2.66666666666667,0.166666666666667,4.83333333333333,50,2,4,13,0,4,15,0,1,24,1,8,3,9,5,6,7,0,858,11,80,184,567,16,0,11,64,56,6,0,55
"Fartura",1,1,0,0,0,0.285714285714286,0.142857142857143,0.857142857142857,0.142857142857143,0.857142857142857,0,1,0.285714285714286,0.285714285714286,0,0.285714285714286,308.714285714286,19.9669312169312,0.428571428571429,0.714285714285714,5.42857142857143,1,0.428571428571429,0.571428571428571,3.28571428571429,0.428571428571429,5.42857142857143,59,37,36,37,1,49,66,15,12,27,1,6,2,7,9,1,1,0,1620,0,311,382,905,22,0,0,104,80,7,3,189
"Fernando Prestes",1,0.833333333333333,0,0,0,0.833333333333333,0,0.833333333333333,0.166666666666667,0.5,0,1,1,0.5,0.166666666666667,0.333333333333333,318,19.5453703703704,0.333333333333333,0.333333333333333,4,0.666666666666667,0.166666666666667,0.666666666666667,2.33333333333333,0.666666666666667,6.33333333333333,46,9,8,16,0,2,31,0,5,21,0,6,0,2,2,0,0,0,907,0,151,128,321,297,10,0,86,45,6,0,56
"Fernandópolis",0.933333333333333,0.833333333333333,0.233333333333333,0.0333333333333333,0.0333333333333333,0.9,0.166666666666667,0.8,0.0666666666666667,0.866666666666667,0.433333333333333,1.1,1.2,0.6,0.0333333333333333,0.333333333333333,319.266666666667,17.4920120674532,0.3,0.133333333333333,4.43333333333333,0.433333333333333,0.366666666666667,0.533333333333333,3.06666666666667,0.266666666666667,4.9,292,49,83,80,5,13,142,6,46,153,18,18,16,60,21,13,2,11,6340,32,1744,1430,2822,302,13,29,447,350,30,2,538
"Fernão",0.5,0.5,0,0,0,1,0,0.5,0,1,0,0.5,0.5,0,0,0.5,318.5,20.45,0,0.5,4.5,0.5,0.5,0.5,3,0.5,6,12,5,4,9,0,1,16,0,3,5,1,1,0,3,2,1,0,3,221,0,64,38,115,4,0,0,33,11,2,0,20
